🕘️更新时间,#genre#
2026-03-07 17:39:57,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
CCTV-1,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://58.32.16.142:4022/udp/233.18.204.52:5140
CCTV-1,http://60.4.29.183:8077/rtp/239.253.92.83:8012
CCTV-1,http://171.8.84.159:8800/rtp/239.16.20.1:10010
CCTV-1,http://115.171.80.124:1688/rtp/225.1.8.81:8176
CCTV-2,http://58.32.16.142:4022/udp/233.18.204.68:5140
CCTV-2,http://113.104.185.72:7088/udp/239.253.43.17:5146
CCTV-2,http://113.104.185.72:7088/udp/239.77.1.158:5146
CCTV-2,http://60.4.29.183:8077/rtp/239.253.92.190:6065
CCTV-2,http://alist.guangyuan.site:8188/rtp/239.77.0.137:5146
CCTV-3,http://58.32.16.142:4022/udp/233.18.204.69:5140
CCTV-3,http://113.104.185.72:7088/udp/239.77.0.175:5146
CCTV-3,http://113.104.185.72:7088/udp/239.77.0.169:5146
CCTV-3,http://60.4.29.183:8077/rtp/239.253.92.191:6057
CCTV-3,http://144.48.185.78:1777/tv/mg1.php?id=CCTV3
CCTV-4,http://58.32.16.142:4022/udp/233.18.204.70:5140
CCTV-4,http://113.104.185.72:7088/udp/239.253.43.121:5146
CCTV-4,http://113.104.185.72:7088/udp/239.253.43.120:5146
CCTV-4,http://113.104.185.72:7088/udp/239.77.1.163:5146
CCTV-4,http://60.4.29.183:8077/rtp/239.253.93.134:6631
CCTV-5,http://58.32.16.142:4022/udp/233.18.204.71:5140
CCTV-5,http://113.104.185.72:7088/udp/239.77.0.177:5146
CCTV-5,http://60.4.29.183:8077/rtp/239.253.92.181:6046
CCTV-5,http://171.8.84.159:8800/rtp/239.16.20.53:10530
CCTV-5,http://144.48.185.78:1777/tv/mg1.php?id=CCTV5
CCTV-5+,http://58.32.16.142:4022/udp/233.18.204.67:5140
CCTV-5+,http://113.104.185.72:7088/udp/239.77.1.31:5146
CCTV-5+,http://113.104.185.72:7088/udp/239.77.0.87:5146
CCTV-5+,http://60.4.29.183:8077/rtp/239.253.92.82:8013
CCTV-5+,http://144.48.185.78:1777/tv/mg1.php?id=CCTV5p
CCTV-6,http://58.32.16.142:4022/udp/233.18.204.72:5140
CCTV-6,http://113.104.185.72:7088/udp/239.77.0.178:5146
CCTV-6,http://113.104.185.72:7088/udp/239.77.0.171:5146
CCTV-6,http://14.118.74.55:10001/rtp/239.77.0.171:5146
CCTV-6,http://144.48.185.78:1777/tv/mg1.php?id=CCTV6
CCTV-7,http://58.32.16.142:4022/udp/233.18.204.73:5140
CCTV-7,http://113.104.185.72:7088/udp/239.77.1.167:5146
CCTV-7,http://60.4.29.183:8077/rtp/239.253.92.194:6059
CCTV-7,http://171.8.84.159:8800/rtp/239.16.20.51:10510
CCTV-7,http://14.118.74.55:10001/rtp/239.77.1.159:5146
CCTV-8,http://58.32.16.142:4022/udp/233.18.204.74:5140
CCTV-8,http://113.104.185.72:7088/udp/239.77.0.181:5146
CCTV-8,http://113.104.185.72:7088/udp/239.77.0.172:5146
CCTV-8,http://60.4.29.183:8077/rtp/239.253.92.195:6060
CCTV-8,http://144.48.185.78:1777/tv/mg1.php?id=CCTV8
CCTV-9,http://58.32.16.142:4022/udp/233.18.204.75:5140
CCTV-9,http://113.104.185.72:7088/udp/239.77.1.168:5146
CCTV-9,http://113.104.185.72:7088/udp/239.77.0.135:5146
